epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8527,1.26285,2.91736,1.12132,0.45298,0.2422,0.30692,0.21268,1.10727,2.50003,1.00256,0.000325758,0.000325758,0.06775
2,28.7584,0.95272,1.33766,1.01335,0.70815,0.67613,0.75749,0.56015,0.91703,1.11035,0.96841,0.00065893,0.00065893,0.0347498
3,42.5424,0.84886,0.90685,0.96498,0.86691,0.87558,0.9175,0.70723,0.80945,0.76656,0.92711,0.000991455,0.000991455,0.00174903
4,56.1104,0.77635,0.76046,0.93467,0.90535,0.93817,0.96442,0.75924,0.80058,0.67143,0.91458,0.000997803,0.000997803,0.000997803
5,69.496,0.71755,0.66183,0.9133,0.95696,0.9377,0.97799,0.79716,0.72017,0.58502,0.88557,0.000996097,0.000996097,0.000996097
6,82.9429,0.66868,0.59368,0.89672,0.95864,0.95782,0.98517,0.80562,0.7082,0.54393,0.87776,0.000993906,0.000993906,0.000993906
7,96.5847,0.65677,0.55042,0.88441,0.95005,0.95904,0.98352,0.81482,0.67973,0.51785,0.86767,0.000991232,0.000991232,0.000991232
8,110.279,0.63235,0.5238,0.8792,0.96556,0.96157,0.98584,0.81444,0.67802,0.48911,0.86534,0.000988079,0.000988079,0.000988079
9,123.649,0.60565,0.48982,0.87152,0.96471,0.96596,0.98776,0.82156,0.64905,0.45833,0.85491,0.000984449,0.000984449,0.000984449
10,137.218,0.60899,0.47638,0.87029,0.96899,0.96093,0.98707,0.80082,0.72774,0.47984,0.87202,0.000980345,0.000980345,0.000980345
11,150.788,0.58508,0.46042,0.86399,0.9673,0.9688,0.98579,0.82694,0.63306,0.43538,0.84763,0.000975773,0.000975773,0.000975773
12,164.514,0.58511,0.45049,0.86118,0.97043,0.96865,0.9879,0.81627,0.66954,0.43882,0.85608,0.000970736,0.000970736,0.000970736
13,178.131,0.57671,0.43503,0.86044,0.97332,0.97666,0.98753,0.82943,0.62613,0.41821,0.84632,0.000965239,0.000965239,0.000965239
14,191.647,0.57565,0.4283,0.85309,0.97554,0.97108,0.98902,0.8163,0.67429,0.42672,0.8555,0.000959289,0.000959289,0.000959289
15,205.148,0.57558,0.42229,0.85617,0.97746,0.97159,0.98937,0.83203,0.61988,0.4035,0.84108,0.000952889,0.000952889,0.000952889
16,218.801,0.56731,0.41113,0.85558,0.97599,0.97968,0.99026,0.83019,0.64301,0.40026,0.845,0.000946048,0.000946048,0.000946048
17,232.409,0.5551,0.40203,0.85153,0.96949,0.97906,0.9881,0.82524,0.6381,0.39795,0.84349,0.000938772,0.000938772,0.000938772
18,246.125,0.54342,0.39605,0.84711,0.96863,0.97679,0.98967,0.83284,0.633,0.38797,0.84298,0.000931067,0.000931067,0.000931067
19,259.859,0.5516,0.39307,0.8449,0.97539,0.97416,0.99172,0.83008,0.64093,0.386,0.8435,0.000922942,0.000922942,0.000922942
20,273.591,0.54379,0.38637,0.84268,0.96814,0.9836,0.99207,0.8376,0.60263,0.37245,0.83555,0.000914405,0.000914405,0.000914405
21,287.294,0.53822,0.38626,0.84582,0.96759,0.99055,0.99125,0.82956,0.64057,0.3772,0.84298,0.000905463,0.000905463,0.000905463
22,301.001,0.53756,0.37842,0.84246,0.97682,0.98833,0.99289,0.83867,0.61164,0.36176,0.83717,0.000896127,0.000896127,0.000896127
23,314.63,0.53594,0.37219,0.84207,0.97778,0.98077,0.99272,0.82761,0.63653,0.36862,0.84126,0.000886404,0.000886404,0.000886404
24,328.36,0.53081,0.36973,0.83956,0.97522,0.98691,0.99243,0.8353,0.61962,0.36043,0.83658,0.000876305,0.000876305,0.000876305
25,342.119,0.5266,0.3597,0.83722,0.977,0.9876,0.99259,0.82862,0.6332,0.35624,0.83937,0.000865839,0.000865839,0.000865839
26,355.745,0.52905,0.36371,0.84117,0.97509,0.99041,0.99279,0.8425,0.59941,0.34671,0.83204,0.000855018,0.000855018,0.000855018
27,369.402,0.52483,0.36112,0.83809,0.9821,0.97948,0.99358,0.847,0.59493,0.34146,0.83134,0.000843851,0.000843851,0.000843851
28,383.084,0.51423,0.35189,0.83677,0.97997,0.98784,0.99274,0.84541,0.59294,0.34001,0.83041,0.000832349,0.000832349,0.000832349
29,396.809,0.51796,0.34936,0.83632,0.98308,0.98342,0.99345,0.83036,0.62967,0.3481,0.83722,0.000820525,0.000820525,0.000820525
30,410.485,0.52407,0.35124,0.83905,0.98009,0.98837,0.993,0.84382,0.59222,0.3346,0.82997,0.000808389,0.000808389,0.000808389
31,424.322,0.50586,0.34104,0.83492,0.98205,0.98527,0.99293,0.84309,0.59071,0.33251,0.82798,0.000795954,0.000795954,0.000795954
32,438.081,0.5142,0.34449,0.83567,0.98098,0.98861,0.99296,0.82607,0.66129,0.35034,0.84442,0.000783231,0.000783231,0.000783231
33,451.904,0.51449,0.3425,0.83738,0.98121,0.98764,0.99295,0.84196,0.58945,0.33276,0.82955,0.000770234,0.000770234,0.000770234
34,465.615,0.50201,0.33245,0.8313,0.97986,0.98349,0.993,0.84886,0.58395,0.32289,0.82696,0.000756976,0.000756976,0.000756976
35,479.345,0.50315,0.33699,0.83035,0.97864,0.99029,0.99305,0.83667,0.60459,0.3284,0.83149,0.000743468,0.000743468,0.000743468
36,492.936,0.49706,0.33225,0.83191,0.9802,0.98231,0.99312,0.84896,0.57319,0.32384,0.82498,0.000729725,0.000729725,0.000729725
37,506.669,0.50512,0.33502,0.83177,0.97129,0.9867,0.99267,0.84238,0.59917,0.33089,0.83111,0.000715761,0.000715761,0.000715761
38,520.329,0.50833,0.33531,0.83613,0.97679,0.98681,0.99348,0.84877,0.58369,0.32281,0.82813,0.000701588,0.000701588,0.000701588
39,533.957,0.49381,0.32546,0.83062,0.97887,0.98826,0.99384,0.84714,0.59403,0.32199,0.8296,0.000687222,0.000687222,0.000687222
40,547.591,0.49203,0.32353,0.82903,0.98391,0.98159,0.99278,0.85082,0.58133,0.31796,0.8269,0.000672675,0.000672675,0.000672675
41,561.26,0.50068,0.32401,0.83231,0.98214,0.98429,0.9926,0.85111,0.57728,0.31816,0.82462,0.000657963,0.000657963,0.000657963
42,574.884,0.49295,0.32241,0.8299,0.9804,0.98585,0.99267,0.83881,0.60888,0.32604,0.83186,0.000643101,0.000643101,0.000643101
43,588.577,0.49307,0.32161,0.82814,0.97818,0.98767,0.99297,0.84475,0.58971,0.31748,0.82856,0.000628101,0.000628101,0.000628101
44,602.235,0.48773,0.31672,0.829,0.97636,0.98854,0.99282,0.84783,0.57531,0.31158,0.82442,0.000612981,0.000612981,0.000612981
45,616.026,0.49113,0.31781,0.83123,0.98074,0.98764,0.99282,0.84742,0.58445,0.3102,0.82671,0.000597754,0.000597754,0.000597754
46,629.662,0.48899,0.31633,0.83015,0.98632,0.98943,0.99289,0.85164,0.57578,0.30992,0.82508,0.000582435,0.000582435,0.000582435
47,643.293,0.48093,0.31196,0.82879,0.98609,0.98364,0.9929,0.85639,0.56683,0.30576,0.82288,0.00056704,0.00056704,0.00056704
48,656.91,0.48307,0.31519,0.82674,0.98278,0.98821,0.9936,0.8354,0.61637,0.3207,0.8337,0.000551584,0.000551584,0.000551584
49,670.566,0.47236,0.30948,0.82504,0.97724,0.98499,0.99309,0.84831,0.59526,0.31647,0.82854,0.000536081,0.000536081,0.000536081
50,684.134,0.47456,0.3104,0.82462,0.98508,0.98408,0.99354,0.84037,0.62201,0.31732,0.83318,0.000520548,0.000520548,0.000520548
51,697.932,0.47299,0.30998,0.82274,0.9844,0.9885,0.9938,0.85315,0.57618,0.30368,0.82436,0.000505,0.000505,0.000505
52,711.725,0.46566,0.30433,0.82244,0.98382,0.98415,0.99363,0.85019,0.57137,0.30456,0.82299,0.000489452,0.000489452,0.000489452
53,725.488,0.47654,0.30609,0.825,0.98627,0.98948,0.99324,0.85513,0.56878,0.3016,0.82336,0.000473919,0.000473919,0.000473919
54,739.147,0.47534,0.30757,0.82476,0.98813,0.98231,0.99315,0.84821,0.59486,0.31023,0.82741,0.000458416,0.000458416,0.000458416
55,752.816,0.47041,0.3023,0.82398,0.98521,0.99323,0.9938,0.84593,0.59497,0.3084,0.82749,0.00044296,0.00044296,0.00044296
56,766.528,0.46872,0.30147,0.82341,0.98449,0.98995,0.99301,0.84799,0.59414,0.30542,0.82755,0.000427565,0.000427565,0.000427565
57,780.266,0.46871,0.30349,0.82334,0.98056,0.98848,0.99312,0.84861,0.58171,0.30185,0.82519,0.000412246,0.000412246,0.000412246
58,793.974,0.46615,0.29876,0.82289,0.98626,0.98884,0.99314,0.85099,0.57895,0.29935,0.82435,0.000397019,0.000397019,0.000397019
59,807.617,0.46351,0.29828,0.82416,0.98116,0.99104,0.99288,0.84596,0.59292,0.30364,0.82758,0.000381899,0.000381899,0.000381899
60,821.41,0.46945,0.29849,0.82108,0.98115,0.98787,0.99281,0.84081,0.59436,0.30632,0.82836,0.000366899,0.000366899,0.000366899
61,835.22,0.45942,0.2953,0.82137,0.97961,0.99354,0.99299,0.84693,0.58775,0.29982,0.82593,0.000352037,0.000352037,0.000352037
62,848.994,0.4732,0.29888,0.8246,0.98134,0.99254,0.99279,0.8504,0.57921,0.29846,0.82434,0.000337325,0.000337325,0.000337325
63,862.792,0.46364,0.29542,0.82191,0.98609,0.98636,0.99347,0.84485,0.59102,0.30179,0.82728,0.000322778,0.000322778,0.000322778
64,876.462,0.46941,0.29634,0.82528,0.9845,0.98686,0.99247,0.84473,0.60179,0.30491,0.82866,0.000308412,0.000308412,0.000308412
65,890.165,0.46759,0.29556,0.82335,0.98211,0.98958,0.99254,0.84358,0.58927,0.30213,0.82707,0.000294239,0.000294239,0.000294239
66,903.837,0.46132,0.29324,0.81997,0.98251,0.98858,0.9924,0.84085,0.59395,0.3043,0.82823,0.000280275,0.000280275,0.000280275
67,917.538,0.45515,0.28974,0.82192,0.98268,0.98945,0.99234,0.84217,0.60081,0.30451,0.82869,0.000266532,0.000266532,0.000266532
68,931.206,0.45566,0.29142,0.82129,0.98126,0.98941,0.99248,0.84369,0.58928,0.30295,0.82668,0.000253024,0.000253024,0.000253024
69,944.818,0.46282,0.29114,0.8213,0.98417,0.98697,0.99244,0.84824,0.57509,0.29941,0.82341,0.000239766,0.000239766,0.000239766
70,958.477,0.45624,0.28846,0.82166,0.9837,0.98936,0.99255,0.84908,0.57637,0.29839,0.82409,0.000226769,0.000226769,0.000226769
71,972.181,0.45934,0.29083,0.82088,0.98488,0.9887,0.99239,0.84327,0.59709,0.30315,0.82776,0.000214046,0.000214046,0.000214046
