epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8935,1.27409,2.86607,1.11998,0.52155,0.24393,0.33464,0.24435,0.99127,2.41769,1.00747,0.000325926,0.000325926,0.0677333
2,28.8975,0.95598,1.26699,1.00708,0.67081,0.65933,0.78684,0.60837,0.76506,1.07458,0.95684,0.000659241,0.000659241,0.0347333
3,42.8363,0.84949,0.9035,0.95123,0.86949,0.85383,0.90105,0.73279,0.68257,0.73931,0.90734,0.000992485,0.000992485,0.00173323
4,56.9756,0.79062,0.75423,0.9274,0.90038,0.92388,0.95502,0.79198,0.60988,0.61752,0.88536,0.000999756,0.000999756,0.000999756
5,70.7376,0.74195,0.66425,0.91013,0.94913,0.9491,0.97464,0.80842,0.64456,0.56125,0.8819,0.000999566,0.000999566,0.000999566
6,84.4702,0.70073,0.60481,0.90014,0.95646,0.96899,0.98975,0.84257,0.58914,0.51467,0.86153,0.000999322,0.000999322,0.000999322
7,98.3234,0.67712,0.55985,0.88311,0.97738,0.97605,0.9909,0.85763,0.54815,0.47852,0.84796,0.000999023,0.000999023,0.000999023
8,112.053,0.64621,0.52534,0.87769,0.98566,0.98608,0.99262,0.87158,0.51566,0.44217,0.8364,0.000998671,0.000998671,0.000998671
9,125.61,0.64415,0.50545,0.87437,0.98585,0.97856,0.99202,0.86407,0.53575,0.43113,0.8367,0.000998264,0.000998264,0.000998264
10,139.479,0.62513,0.48365,0.86394,0.98701,0.98447,0.99214,0.87124,0.51398,0.41178,0.82922,0.000997803,0.000997803,0.000997803
11,153.373,0.61904,0.47129,0.86495,0.983,0.97833,0.9925,0.88095,0.47287,0.39226,0.82389,0.000997288,0.000997288,0.000997288
12,167.19,0.59739,0.4481,0.85643,0.98546,0.98883,0.993,0.8821,0.475,0.38186,0.82047,0.00099672,0.00099672,0.00099672
13,180.611,0.59537,0.43796,0.85859,0.98648,0.98607,0.99266,0.88611,0.46391,0.36684,0.81984,0.000996097,0.000996097,0.000996097
14,194.298,0.585,0.42817,0.85272,0.98579,0.98907,0.99296,0.88624,0.46062,0.3609,0.81841,0.00099542,0.00099542,0.00099542
15,208.052,0.56729,0.417,0.84765,0.986,0.98799,0.9932,0.89078,0.43933,0.35174,0.81267,0.00099469,0.00099469,0.00099469
16,221.835,0.57078,0.41274,0.84926,0.9905,0.9847,0.99308,0.88359,0.47341,0.35012,0.815,0.000993906,0.000993906,0.000993906
17,235.631,0.56547,0.40623,0.84483,0.98684,0.98728,0.99303,0.8732,0.50949,0.34632,0.81945,0.000993068,0.000993068,0.000993068
18,249.401,0.56306,0.40209,0.84688,0.98764,0.98888,0.9926,0.89199,0.44884,0.3338,0.81319,0.000992177,0.000992177,0.000992177
19,263.276,0.557,0.39556,0.84166,0.988,0.99075,0.99259,0.8938,0.43471,0.32675,0.8111,0.000991232,0.000991232,0.000991232
20,276.763,0.5462,0.3808,0.83653,0.99234,0.98827,0.99358,0.8955,0.43857,0.31976,0.80887,0.000990234,0.000990234,0.000990234
21,290.233,0.5471,0.38578,0.83857,0.98569,0.98931,0.99364,0.89719,0.43815,0.3135,0.80916,0.000989183,0.000989183,0.000989183
22,303.972,0.54072,0.3755,0.83695,0.9905,0.98527,0.99342,0.87573,0.51018,0.32663,0.81834,0.000988079,0.000988079,0.000988079
23,317.713,0.54273,0.37122,0.83798,0.99122,0.98915,0.99218,0.89175,0.44602,0.31028,0.81044,0.000986922,0.000986922,0.000986922
24,331.476,0.538,0.37047,0.83609,0.98282,0.9931,0.99401,0.90081,0.42761,0.30103,0.80602,0.000985711,0.000985711,0.000985711
25,344.906,0.52779,0.36283,0.83474,0.99006,0.98865,0.99286,0.89279,0.43393,0.30013,0.80712,0.000984449,0.000984449,0.000984449
26,358.751,0.53961,0.36528,0.83457,0.98652,0.98783,0.99271,0.89517,0.43294,0.3046,0.8082,0.000983133,0.000983133,0.000983133
27,372.57,0.53368,0.36234,0.83564,0.9858,0.99195,0.99218,0.89973,0.41717,0.29631,0.80605,0.000981765,0.000981765,0.000981765
28,386.349,0.52531,0.35561,0.83284,0.98806,0.99003,0.99211,0.89021,0.44628,0.29757,0.81121,0.000980345,0.000980345,0.000980345
29,400.101,0.52105,0.34992,0.83385,0.98781,0.99351,0.99255,0.89833,0.42816,0.28728,0.80745,0.000978873,0.000978873,0.000978873
30,413.736,0.51751,0.34975,0.82914,0.9818,0.99402,0.99217,0.89667,0.42315,0.28734,0.80836,0.000977349,0.000977349,0.000977349
31,427.471,0.51677,0.34793,0.83306,0.98456,0.9917,0.99222,0.88732,0.44856,0.29345,0.80763,0.000975773,0.000975773,0.000975773
32,441.1,0.51664,0.34331,0.83177,0.98023,0.99108,0.99256,0.88835,0.44321,0.28644,0.80653,0.000974145,0.000974145,0.000974145
33,454.898,0.50813,0.33265,0.82853,0.98644,0.98877,0.99246,0.89256,0.42635,0.28338,0.80858,0.000972466,0.000972466,0.000972466
34,468.791,0.50756,0.33664,0.82661,0.98931,0.99023,0.99275,0.89321,0.42675,0.28382,0.80977,0.000970736,0.000970736,0.000970736
35,482.503,0.50774,0.33673,0.82821,0.9904,0.99033,0.99233,0.89933,0.41365,0.27233,0.8064,0.000968955,0.000968955,0.000968955
36,496.29,0.50767,0.3327,0.82885,0.9852,0.99121,0.99244,0.89504,0.42197,0.27355,0.80484,0.000967122,0.000967122,0.000967122
37,510.041,0.50339,0.33214,0.82585,0.98899,0.99003,0.99275,0.90052,0.41726,0.27431,0.80452,0.000965239,0.000965239,0.000965239
38,523.514,0.49743,0.32535,0.82669,0.98989,0.98702,0.99185,0.87095,0.50844,0.29022,0.81499,0.000963306,0.000963306,0.000963306
39,537.153,0.49922,0.32867,0.82727,0.98931,0.98853,0.99254,0.88299,0.46241,0.27928,0.81045,0.000961322,0.000961322,0.000961322
40,550.902,0.49851,0.32353,0.82317,0.99057,0.98708,0.99264,0.89512,0.43081,0.27359,0.80503,0.000959289,0.000959289,0.000959289
41,564.712,0.49249,0.32008,0.82402,0.98871,0.98274,0.99268,0.89509,0.42395,0.27273,0.80543,0.000957205,0.000957205,0.000957205
42,578.54,0.50297,0.32546,0.82778,0.99081,0.98718,0.99196,0.88833,0.43122,0.27388,0.80514,0.000955072,0.000955072,0.000955072
43,592.101,0.49306,0.32002,0.82324,0.9885,0.98798,0.99365,0.88789,0.44331,0.26879,0.80453,0.000952889,0.000952889,0.000952889
44,605.641,0.4943,0.31821,0.8266,0.9869,0.98946,0.9914,0.87673,0.45833,0.27052,0.80752,0.000950658,0.000950658,0.000950658
45,619.355,0.49686,0.31975,0.82359,0.9903,0.98657,0.99158,0.89455,0.41178,0.26389,0.80599,0.000948377,0.000948377,0.000948377
46,633.08,0.49234,0.31738,0.82519,0.98892,0.98686,0.99091,0.88,0.46238,0.26834,0.80967,0.000946048,0.000946048,0.000946048
47,646.915,0.48899,0.31438,0.82404,0.98456,0.98757,0.99235,0.89405,0.42671,0.26091,0.80575,0.000943671,0.000943671,0.000943671
48,660.681,0.48084,0.30925,0.82134,0.98764,0.98536,0.99114,0.89773,0.4195,0.25844,0.80308,0.000941245,0.000941245,0.000941245
49,674.442,0.48308,0.30604,0.82132,0.99073,0.98748,0.99111,0.88909,0.43664,0.26063,0.80453,0.000938772,0.000938772,0.000938772
50,688.248,0.48382,0.30957,0.8186,0.98921,0.98596,0.99096,0.85315,0.55255,0.28649,0.8247,0.000936251,0.000936251,0.000936251
51,701.82,0.48292,0.30832,0.82036,0.98688,0.98892,0.99212,0.88194,0.46611,0.26723,0.8108,0.000933683,0.000933683,0.000933683
52,715.688,0.48271,0.30789,0.81988,0.98597,0.98957,0.99213,0.8977,0.42244,0.25659,0.80473,0.000931067,0.000931067,0.000931067
53,729.416,0.47576,0.30219,0.81865,0.98542,0.99298,0.993,0.90212,0.41589,0.25184,0.80223,0.000928405,0.000928405,0.000928405
