epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,371.245,1.703,2.2192,1.48529,0.7179,0.62729,0.68691,0.30495,1.8622,1.62832,1.52443,0.00999042,0.00333014,0.00999042,0.00333014,0.00999042,0.00333014,0.00999042,0.00333014
2,734.726,1.64972,1.31425,1.45826,0.8323,0.75699,0.82203,0.37435,1.82685,1.17943,1.56667,0.0195946,0.00653154,0.0195946,0.00653154,0.0195946,0.00653154,0.0195946,0.00653154
3,1094.1,1.66529,1.21945,1.5189,0.78802,0.71389,0.76671,0.3381,1.86784,1.19485,1.63943,0.0288028,0.00960093,0.0288028,0.00960093,0.0288028,0.00960093,0.0288028,0.00960093
4,1451.4,1.67108,1.16364,1.5646,0.82427,0.74741,0.8132,0.36582,1.86111,1.10172,1.66553,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1811.05,1.65017,1.07596,1.56952,0.85885,0.79,0.84906,0.38994,1.83607,0.9989,1.63101,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2170.09,1.63604,1.02637,1.55819,0.86922,0.80684,0.86336,0.39861,1.8263,0.94492,1.6119,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2529.04,1.62702,0.99831,1.55406,0.85663,0.80945,0.8639,0.39961,1.82516,0.94336,1.61363,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2888.83,1.61874,0.98067,1.55018,0.88149,0.83582,0.88382,0.41525,1.80258,0.87104,1.58925,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3248.09,1.60935,0.96761,1.5482,0.88212,0.84208,0.8889,0.41721,1.8027,0.86719,1.58828,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3607.67,1.6083,0.95599,1.54339,0.88798,0.8541,0.89303,0.42126,1.78708,0.85307,1.58056,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,27894.8,1.60399,0.94364,1.54091,0.89199,0.85348,0.89777,0.42271,1.79411,0.84678,1.5862,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,28270.7,1.6008,0.93166,1.53779,0.88822,0.85716,0.89609,0.42678,1.7903,0.82107,1.58271,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,28634.3,1.5972,0.91932,1.53265,0.88965,0.86235,0.9,0.43084,1.77247,0.83579,1.57387,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,28991.8,1.59328,0.91831,1.53452,0.89312,0.86554,0.90449,0.43341,1.77234,0.81373,1.57078,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,29349.8,1.58792,0.91053,1.53057,0.89423,0.87108,0.90327,0.43348,1.77229,0.81761,1.5726,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,29707.6,1.58908,0.90447,1.53035,0.89623,0.86705,0.90235,0.43429,1.76883,0.80854,1.57376,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,30065.7,1.58446,0.89882,1.52727,0.89862,0.87398,0.90782,0.43498,1.76913,0.79945,1.56727,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
